Time [s],Packet ID,MOSI,MISO
12.850517600000000,29701,0x40,
12.850552320000000,29701,0x1B,
12.850591520000000,29702,0x40,
12.850626240000000,29702,0x1B,
12.850665440000000,29703,0x40,
12.850700160000001,29703,0x1B,
12.850739360000000,29704,0x40,
12.850774080000001,29704,0x1B,
12.850813280000001,29705,0x40,
12.850847999999999,29705,0x1B,
12.850887200000001,29706,0x40,
12.850921919999999,29706,0x1B,
12.850961119999999,29707,0x40,
12.850995760000000,29707,0x1B,
12.851037600000000,29708,0x40,
12.851072320000000,29708,0x1B,
12.851111520000000,29709,0x40,
12.851146160000001,29709,0x1B,
12.851185440000000,29710,0x40,
12.851220079999999,29710,0x1B,
12.851259360000000,29711,0x40,
12.851293999999999,29711,0x1B,
12.851333199999999,29712,0x40,
12.851367920000000,29712,0x1B,
12.851407119999999,29713,0x40,
12.851441840000000,29713,0x1B,
12.851481039999999,29714,0x40,
12.851515760000000,29714,0x1B,
12.851554960000000,29715,0x40,
12.851589680000000,29715,0x1B,
12.851628880000000,29716,0x40,
12.851663600000000,29716,0x1B,
12.851702800000000,29717,0x40,
12.851737520000000,29717,0x1B,
12.851776720000000,29718,0x40,
12.851811440000001,29718,0x1B,
12.851850640000000,29719,0x40,
12.851885279999999,29719,0x1B,
12.851924560000000,29720,0x40,
12.851959200000000,29720,0x1B,
12.851998480000001,29721,0x40,
12.852035760000000,29721,0x1B,
12.852074959999999,29722,0x40,
12.852109680000000,29722,0x1A,
12.852148480000000,29723,0xC0,
12.859308640000000,29724,0xA0,
12.859346640000000,29725,0xE0,
12.859383599999999,29726,0x05,
12.859420399999999,29726,0x20,
12.859457440000000,29726,0x00,
12.859494560000000,29726,0x00,
12.859531600000000,29726,0x00,
12.859568720000000,29726,0x80,
12.859605760000001,29726,0x00,
12.859642880000001,29726,0x76,
12.859679920000000,29726,0x00,
12.859717040000000,29726,0x80,
12.859754080000000,29726,0x06,
12.859791200000000,29726,0x19,
12.859828240000001,29726,0x00,
